"2957464","2017-06-08T09:27:20.000Z","goofy@framapiaf.org","@etienne_cdl @darkpalmor @fmstereo @evelinette @bituur_esztreym @Mutilee  etc.L'aimable et innocente manie de décaler les mots et les sens (des jeux de mots, calembours, détournements etc.) gagne du terrain sur Mastodon. Je *propose* de taguer #ironème nos gentils délires lexico-sémantiques, ça évitera de mentionner tout le monde à la fois, ça permet de les retrouver et ça fera plaisir (?) @etienne_cdl qui a inventé ce terme.Bon mais vous ferez comme vous voulez hein :)"
"2958234","2017-06-08T10:01:07.000Z","goofy@framapiaf.org","@etienne_cdl Bas de WürtembergBas de crasseBas de quartier !À bas les brosses !Ô fille de l'eauHaut cœur du problèmeOh les cœurs !#ironème"
"2958843","2017-06-08T10:28:13.000Z","goofy@framapiaf.org","@bram c'est quoi un maquereau processeur ?#ironème"
"2959144","2017-06-08T10:03:27.000Z","darkpalmor@framapiaf.org","@goofy @Mutilee @bituur_esztreym @evelinette @fmstereo @etienne_cdl L'innocence ironématique, je suis pour. Et on assumera aussi la saturation, sans trier.D'ailleurs, bon grain dit vrai, pas vrai ? #ironème on aime.Pouet je ne vous demande pas l’aumône,Je vous la fais.Pouet, je ne vous demande pas l’heure qu’il est,Je vous la donne.Aujourd'hui, 8 juin, Desnos est mort en 44, mais vivant ici."
"2959203","2017-06-08T10:41:17.000Z","fracolo@mastodon.xyz","#ironème n'existe que dans un cercle restreint, et pourtant, les deux premiers résultats dans Google concernent leur validité au Scrabble !! Il semblerait que ""Google"" soumette au site 1mot.net les listes de mots qu'il découvre (!???) https://mastodon.xyz/media/1axYR_qSID2ZuWLLQ1E"
"2960232","2017-06-08T11:23:53.000Z","goofy@framapiaf.org","@darkpalmor bah cépagrave, tout le monde peut se tromper, sélavy qui veut ça.#ironème"
"2960865","2017-06-08T11:43:21.000Z","goofy@framapiaf.org","Remords de chagrin ( @etienne_cdl)	Drapeau de chagrinEsthète de mort	Piment des squelettes#ironème"
"2961384","2017-06-08T12:00:45.000Z","fmstereo@framapiaf.org","#Ironème avoir la mangue bien fendue.(Désolée des interprétations limites, vous n'êtes pas obligés d'avoir l'esprit tordu)."
"2961422","2017-06-08T12:01:55.000Z","fmstereo@framapiaf.org","@Mutilee @bituur_esztreym @evelinette @darkpalmor @etienne_cdl @goofy ok, à partir de tout de suite je pouette  #Ironème"
"2961482","2017-06-08T12:04:14.000Z","fmstereo@framapiaf.org","#Ironème Avoir le beurre au nord des zèbres."
"2962087","2017-06-08T12:25:28.000Z","bituur_esztreym@mastodon.xyz","@iladpo @etienne_cdl @darkpalmor @fmstereo @evelinette @Mutilee @goofy martyr, c'est pourrir un peu #ironème"
"2973776","2017-06-08T17:29:44.000Z","bituur_esztreym@mastodon.xyz","chimes are a tanging #ironem #ironème"
"2973817","2017-06-08T17:31:11.000Z","bituur_esztreym@mastodon.xyz","lustrer les braises #ironème"
"2974108","2017-06-08T17:39:02.000Z","goofy@framapiaf.org","@etienne_cdl Plomb fixe	Brise de vueBlanc américain	Plante ensembleScène à Rio#ironème"
"2975758","2017-06-08T18:31:02.000Z","fmstereo@framapiaf.org","@goofy Avoir le leurre au bord des lettres.  #Ironème"
"2978733","2017-06-08T19:43:54.000Z","goofy@framapiaf.org","@etienne_cdl Bricoler les morceaux	Les morts sont		débris collésL'anguille des minutes	s'enfuit au large	là où l'or loge	Lecture en trouble aveugleLes yeux 	sur le plat			c'est beau#ironème"
"2995036","2017-06-09T05:12:10.000Z","goofy@framapiaf.org","@etienne_cdl L'afrobeat des glandeurs#ironème"
